STATE,estuary,DLAT,DLONG,CONDITION,CLASSIFICATION,SUBCLASS,BARRIER_BACKBARRIER,CENTRAL_BASIN,FLUVIAL_BAYHEAD_DELTA,FLOOD_EBB_DELTA,INTERTIDAL_FLATS,MANGROVE,SALTMARSH_SALTFLAT,TIDAL_SANDBANKS,ROCKY_REEF,CORAL,CHANNEL,BEDROCK,FLOODPLAIN,BEDROCK_PERIMETER,PERIMETER,CATCHMENTAREA,WATERAREA,MAXLENGTH,MAXWIDTH,ENTLENGTH,ENTRANCEWIDTH,MEANWAVEHEIGHT,MEANWAVEPERIOD,MAXWAVEHEIGHT,MAXWAVEPERIOD,TIDALRANGE,TIDALTYPE
TAS,Leven River,-41.168,146.37,extensively modified,wave dominated,WAVE-DOMINATED ESTUARY,,1.42395,0.24806,,0.41121,,,0.04809,,,0.3875,,,7.5465,29.19,655,4.61,8.48,1.22,3.99,0.73,0.953,4.967,5,10,2.4,Semi Diurnal
TAS,Lewis River,-42.951,145.494,near pristine,tide dominated,OTHER,,,,,,,,,,,,,,,4.08,211,0.087,1.79,,,0.13,2.832,9.018,8.7,14.1,1,Diurnal
TAS,Lisdillon Lagoon,-42.291,148.011,modified,wave dominated,OTHER,0.07917,0.07764,0.01898,0.03392,0.07088,,0.14854,,0.0467,,0.16217,,,2.6734,5.1,,,2.17,0.3,1.42,0.035,,,,,,
TAS,Little Forester River,-40.97,147.364,modified,river dominated,WAVE-DOMINATED DELTA,0.03609,,0.20731,0.67735,0.3089,,,,,,0.47484,,,0.23046,6.85,376,0.17,3.06,,,0.2,1.155,5.139,5.9,9.4,2.2,Semi Diurnal
TAS,Little Henty River,-41.949,145.196,modified,river dominated,WAVE-DOMINATED DELTA,0.31739,,,0.00497,1.19412,,,,0.08822,,0.31508,,,7.45778,8.09,359,0.26,3.83,,,0.19,2.483,9.108,8.4,14.4,1,Diurnal
TAS,Little Musselroe River,-40.763,148.038,modified,river dominated,WAVE-DOMINATED DELTA,0.65248,,0.0676,0.3935,,,0.59977,,0.01879,,0.11554,,,0.21406,3.66,100,0.11,1.64,,,0.036,1.324,5.778,5.5,9.6,1.2,Semi Diurnal
TAS,Little Swanport,-42.312,148,modified,wave dominated,WAVE-DOMINATED ESTUARY,,3.74561,0.80899,0.84827,0.14016,,1.41803,,0.00966,,5.52407,,,20.12791,31.3,723,4.28,8.11,0.82,0.51,0.39,0.499,5.477,1.9,10.3,1.2,Diurnal
TAS,Logan Lagoon,-40.17,148.29,near pristine,wave dominated,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS,Louisa Creek,-43.516,146.345,near pristine,wave dominated,OTHER,,,,,,,,,,,,,,,4.72,,,2.39,,,0.031,,,,,,
TAS,Louisa River,-43.526,146.371,near pristine,wave dominated,OTHER,,,,,,,,,,,,,,,0.21,,,3.88,,,0.03,,,,,,
TAS,Macquarie Harbour,-42.213,145.219,modified,wave dominated,WAVE-DOMINATED ESTUARY,38.38719,261.88203,4.93111,13.2989,2.02508,,,,,,13.01627,,,0.99059,210.44,7049,297.57,50.1,13.67,1.7,0.88,2.348,9.002,8.8,14.3,0.9,Diurnal
TAS,Mainwaring River,-42.87,145.436,near pristine,tide dominated,OTHER,,,,,,,,,,,,,,,3.69,87,0.093,1.57,,,0.21,2.926,8.837,8.9,13.7,1.1,Diurnal
TAS,Meredith River,-42.112,148.074,modified,river dominated,WAVE-DOMINATED DELTA,0.01662,,0.01932,,0.02973,,,,,,0.07952,,,,1.32,,,0.59,,,0.032,,,,,,
TAS,Mersey River,-41.168,146.37,extensively modified,wave dominated,WAVE-DOMINATED ESTUARY,,3.49981,4.50617,,0.31724,,1.04776,,0.12905,,1.49845,,,0.06885,29.19,1789,4.61,8.48,1.22,3.99,0.73,1.034,4.92,5.2,9.8,2.4,Semi Diurnal
TAS,Middle Inlet,-39.926,148.154,near pristine,wave dominated,STRANDPLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS,Mines Creek,-39.889,147.872,near pristine,wave dominated,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS,Modder River,-40.425,148.062,near pristine,wave dominated,WAVE-DOMINATED ESTUARY,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS,Montagu,-40.748,144.94,modified,tide dominated,TIDAL FLAT/CREEK,,,,,5.80774,,1.01736,,,,0.19058,,,0.00427,7.22,,,2.51,,,0.79,,,,,,
TAS,Mosquito Inlet,-40.624,144.952,largely unmodified,tide dominated,OTHER,2.44361,,,7.24818,7.29781,,0.82189,0.28242,,,1.02,,,,14.51,41,4.53,3.45,2.8,,1.86,0.724,7.901,5.2,13.2,2,Semi Diurnal
TAS,Mulcahy River,-43.112,145.715,near pristine,wave dominated,OTHER,,,,,,,,,,,,,,,1.57,,,0.67,,,0.12,,,,,,
TAS,Nelson Bay River,-41.14,144.679,near pristine,wave dominated,OTHER,,,,,,,,,,,,,,,0,95,0,,,,,2.85,8.734,10.5,13.4,1.8,Semi Diurnal
TAS,New River,-43.554,146.601,near pristine,wave dominated,WAVE-DOMINATED ESTUARY,,,,,,,,,,,,,,,29.9,325,12.46,12.72,2.57,4.69,0.14,2.681,8.843,8.5,13.8,1.1,Diurnal
TAS,North East River,-39.789,147.977,near pristine,wave dominated,WAVE-DOMINATED ESTUARY,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS,North West Bay,-43.072,147.309,extensively modified,tide dominated,OTHER,,,0.8573,,0.74729,,0.14184,,,,18.69824,,,8.88228,25.83,,,8.59,4.66,,3.04,,,,,,
TAS,Patriarch River,-39.958,148.149,near pristine,wave dominated,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS,Pats River,-40.095,148,modified,wave dominated,OTHER,,,,0.30261,1.0167,,0.0125,,,,0.23153,,,9.36354,,,,,,,,,,,,,
TAS,Payne Bay,-43.298,145.943,near pristine,tide dominated,OTHER,,,,,,,,,,,,,,,69.41,1000,42.02,19.75,,,2.76,2.882,8.853,8.5,13.7,0.6,Diurnal
TAS,Pedder River,-41.405,144.778,near pristine,wave dominated,STRANDPLAIN,,,,,,,,,,,,,,,7.6,133,0.35,3.61,,,0.049,2.775,8.864,10.1,13.6,1.4,Semi Diurnal
TAS,Pieman River,-41.667,144.924,largely unmodified,tide dominated,OTHER,,,,0.10414,0.55104,,,,0.15243,,3.18548,,,22.02136,36.49,3925,3.81,17.31,,,0.18,2.642,8.982,9.1,14.2,1,Diurnal
TAS,Pipeclay Lagoon,-42.96,147.539,modified,wave dominated,WAVE-DOMINATED ESTUARY,0.31005,1.11533,,3.14858,1.07067,,0.10808,,,,0.32236,,,,13.8,,,2.6,3.7,1.48,0.23,,,,,,
TAS,Pipers River,-41.01,147.158,modified,wave dominated,WAVE-DOMINATED ESTUARY,0.46183,,0.20674,0.11423,0.90948,,0.18811,,0.29915,,0.52668,,,,9.48,474,0.25,4.4,,,0.034,0.565,4.633,3.2,9.5,2.4,Semi Diurnal
TAS,Pitt Water,-42.849,147.615,extensively modified,wave dominated,WAVE-DOMINATED ESTUARY,15.98909,24.04542,2.04539,16.13324,1.27312,,0.4928,,0.03135,,4.82042,,,0.1256,80.39,1029,42.71,23.64,4.38,3.41,0.56,1.059,6.504,4.9,12.4,1.2,Diurnal
TAS,Port Arthur,-43.193,147.887,no assessment,tide dominated,OTHER,,,0.09957,0.00714,0.4404,,0.03262,,0.38241,,23.88369,,,0.0163,34.94,100,22.08,9.8,3.48,,1.68,1.617,7.428,5.8,12.8,1.2,Diurnal
TAS,Port Cygnet,-43.225,147.079,modified,tide dominated,OTHER,,,0.79749,,0.38757,,0.01934,,,,12.16688,,,16.8657,24.29,,,7,,,2.24,,,,,,
TAS,Port Sorell,-41.139,146.555,modified,wave dominated,WAVE-DOMINATED ESTUARY,4.99164,,,2.2024,9.53246,,0.7135,0.77509,0.33391,,5.13806,,,0.37186,66.48,675,18.75,15.8,2.38,3.42,2.4,1.021,4.816,5.2,9.5,2.4,Semi Diurnal
TAS,Prosser River,-42.553,147.881,modified,wave dominated,WAVE-DOMINATED ESTUARY,0.15978,,,0.23875,0.07824,,,,,,0.21621,,,3.45956,6,743,0.19,2.6,,,0.06,0.606,5.331,2.4,10.8,1.1,Diurnal
TAS,Ralphs Bay,-42.951,147.41,no assessment,tide dominated,OTHER,2.42495,53.64312,,,0.6009,,0.10101,,,,0.11072,,,30.88959,47.66,116,51.37,11.39,5.43,,2.72,0.45,4.466,1.4,9.9,1.3,Diurnal
TAS,Recherche Bay,-43.557,146.917,no assessment,tide dominated,OTHER,,,0.97907,0.27753,0.61705,,,,0.04774,,11.29017,,,,24.59,213,10.07,6.07,,,2.45,1.669,7.848,6,13.3,1.2,Diurnal
TAS,Rices River,-40.413,148.31,near pristine,wave dominated,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS,Ringarooma River,-40.861,147.888,extensively modified,river dominated,WAVE-DOMINATED DELTA,1.13885,,,0.4352,,,0.31648,0.05889,,,0.76022,,,,15.97,1203,0.49,6.86,0.37,,0.11,1.044,5.187,5.5,9.9,1.5,Semi Diurnal
TAS,Robbins Passage,-40.73,145.058,modified,tide dominated,OTHER,19.0758,,,2.46402,65.24997,,12.14903,1.47887,0.31001,,24.43962,,,0.27532,,583,,,,,4.36,0.724,7.901,5.2,13.2,2,Semi Diurnal
TAS,Rocky Head Rivulet,-40.442,148.137,near pristine,wave dominated,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS,Saltwater Lagoon,-42.04,148.278,near pristine,wave dominated,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,
