STATE,estuary,DLAT,DLONG,CONDITION,CLASSIFICATION,SUBCLASS,BARRIER_BACKBARRIER,CENTRAL_BASIN,FLUVIAL_BAYHEAD_DELTA,FLOOD_EBB_DELTA,INTERTIDAL_FLATS,MANGROVE,SALTMARSH_SALTFLAT,TIDAL_SANDBANKS,ROCKY_REEF,CORAL,CHANNEL,BEDROCK,FLOODPLAIN,BEDROCK_PERIMETER,PERIMETER,CATCHMENTAREA,WATERAREA,MAXLENGTH,MAXWIDTH,ENTLENGTH,ENTRANCEWIDTH,MEANWAVEHEIGHT,MEANWAVEPERIOD,MAXWAVEHEIGHT,MAXWAVEPERIOD,TIDALRANGE,TIDALTYPE
VIC,Lake Yambuk,-38.337,142.04,largely unmodified,wave dominated,WAVE-DOMINATED ESTUARY,,,,,,,,,,,,,,,7.93,1022,0.95,2.8,0.69,0.66,0.13,2.108,8.943,7.3,15.1,0.8,Diurnal
VIC,Laverton Creek,-37.881,144.807,extensively modified,tide dominated,OTHER,,,,,,,,,,,,,,,5.41,45,0.18,2.37,0.34,,0.07,0.466,5.611,2,13.6,0.9,Semi Diurnal
VIC,Limeburners Bay,-38.075,144.401,modified,tide dominated,TIDAL FLAT/CREEK,,,,,,,,,,,,,,,9.27,282,1.19,3.57,0.7,,0.58,0.214,2.657,1,6.7,0.9,Semi Diurnal
VIC,Little River,-38.005,144.592,modified,tide dominated,OTHER,,,,,,,,,,,,,,,6,890,0.15,2.77,0.12,,0.066,0.285,2.877,1.2,6.9,1.1,Semi Diurnal
VIC,Mallacoota Inlet,-37.569,149.763,near pristine,wave dominated,WAVE-DOMINATED ESTUARY,0.86063,19.76209,1.87327,0.95698,3.86887,,1.00609,0.06924,0.1705,,5.77364,,,,142.05,1846,33.13,24.67,5.09,1.54,0.22,1.391,6.721,5.1,11.6,1,Diurnal
VIC,Merri River,-38.361,142.478,extensively modified,wave dominated,OTHER,,,,0.01938,0.01427,,,,0.01248,,0.21102,,,0.00961,,,,,,,,,,,,,
VIC,Merriman Creek,-38.426,147.13,near pristine,wave dominated,OTHER,,,,,,,,,,,,,,,12.74,,1.25,5.07,0.7,3.45,0.067,,,,,,
VIC,Moyne River,-38.384,142.242,modified,wave dominated,WAVE-DOMINATED ESTUARY,,0.8029,0.26745,0.02379,0.31764,,0.50733,0.01364,0.08622,,0.27154,,,0.55146,,687,,,,,,1.668,8.952,5.8,15.1,0.8,Diurnal
VIC,Mueller River,-37.781,149.326,no assessment,wave dominated,WAVE-DOMINATED ESTUARY,,,,,,,,,,,,,,,13.56,573,0.44,5.18,0.16,,0.092,1.099,6.607,4.1,11.8,1.1,Diurnal
VIC,Painkalac Creek/Aireys Inlet,-38.467,144.094,largely unmodified,wave dominated,STRANDPLAIN,0.00711,,,,0.0945,,0.0111,,,,0.09726,,,,0,,0,,,,,,,,,,
VIC,Patterson River,-38.074,145.119,modified,tide dominated,OTHER,,,,,,,,,,,,,,,15.36,684,0.75,5.48,0.15,,0.062,0.475,6.454,2.2,15.3,1.5,Semi Diurnal
VIC,Port Campbell River,-38.632,142.98,largely unmodified,tide dominated,TIDE-DOMINATED ESTUARY,0.01002,,,0.00965,0.00518,,0.09131,,0.12431,,0.0794,,,,0,,0,,,,,,,,,,
VIC,Port Phillip Bay,-38.297,144.632,modified,tide dominated,OTHER,,,,,,,,,,,,,,,257.36,15709,1897.42,63.52,53.63,3.43,3.46,0.612,6.697,2.4,14.3,1.2,Semi Diurnal
VIC,Powlett River,-38.583,145.511,near pristine,wave dominated,STRANDPLAIN,,,,,,,,,,,,,,,1.09,,0.027,0.47,0.076,,0.022,,,,,,
VIC,Red River,-37.727,149.563,near pristine,wave dominated,WAVE-DOMINATED ESTUARY,0.06418,0.05363,0.04748,0.03546,0.02974,,0.11225,,,,0.1093,,,,4.05,,0.083,1.92,0.067,,0.046,,,,,,
VIC,Saint George River,-38.569,143.965,near pristine,wave dominated,OTHER,,,,,0.08793,0.03006,0.02087,,,,0.00301,,,,0,,0,,,,,,,,,,
VIC,Shallow Inlet,-38.871,146.184,largely unmodified,wave dominated,WAVE-DOMINATED ESTUARY,2.99533,,,0.42845,7.04799,,11.67968,0.11473,0.10634,,2.98393,,,0.14586,48.52,83,5.03,14,0.26,1.82,0.29,1.597,8.455,6.1,14.5,2.1,Semi Diurnal
VIC,Sherbrook River,-38.644,143.057,largely unmodified,wave dominated,OTHER,0.00711,,,,0.04393,,,,0.00366,,0.02863,,,,1.17,,0.029,0.54,0.077,,0.048,,,,,,
VIC,Shipwreck Creek,-37.649,149.699,near pristine,wave dominated,OTHER,,,,,,,,,,,,,,,0,,0,,,,,,,,,,
VIC,Skeleton Creek,-37.899,144.8,modified,wave dominated,OTHER,,,,,,,,,,,,,,,12.72,115,0.59,4.19,0.32,,0.035,0.466,5.611,2,13.6,0.9,Semi Diurnal
VIC,Skenes Creek,-38.725,143.712,modified,wave dominated,OTHER,,,,0.01003,0.08013,,,,0.02447,,0.01602,,,,0,,0,,,,,,,,,,
VIC,Snowy River,-37.805,148.557,modified,wave dominated,WAVE-DOMINATED ESTUARY,0.99424,5.03053,0.38535,0.31979,1.2373,,6.04228,,,,3.87305,,,0.50016,71.99,15096,9.81,13.96,0.53,6.23,0.24,1.238,6.341,4,10.6,1.1,Semi Diurnal
VIC,Spring Creek,-38.341,144.32,modified,river dominated,WAVE-DOMINATED DELTA,0.00868,,,,0.00259,,0.01262,,0.00819,,0.072,,,,0,,,,,,,,,,,,
VIC,Surrey River,-38.26,141.704,largely unmodified,wave dominated,STRANDPLAIN,0.03366,,,,,,0.32999,,,,0.18336,,,,2.9,370,0.085,1.4,,,0.051,1.187,8.13,4.1,14.7,0.8,Diurnal
VIC,Swan Bay,-38.231,144.697,modified,tide dominated,OTHER,,,,,,,,,,,,,,,40.17,192,27.42,10.09,4.11,,2.13,1.278,8.313,4.5,14.9,1.2,Semi Diurnal
VIC,Sydenham Inlet,-37.781,149.017,largely unmodified,wave dominated,WAVE-DOMINATED ESTUARY,0.54957,9.91461,0.67093,0.1674,1.44033,,7.11582,,,,0.94002,,,0.11081,56.16,1109,13.55,13.95,4.59,2.22,0.34,1.106,6.318,4.2,11.8,1.1,Semi Diurnal
VIC,Tamboon Inlet,-37.779,149.148,largely unmodified,wave dominated,WAVE-DOMINATED ESTUARY,0.30325,5.74239,0.40109,0.01528,0.38371,,1.66415,0.08147,,,0.97658,,,0.07341,36.63,1216,8.06,13.99,2.44,1.39,0.12,1.167,6.407,4.4,12.4,1.1,Diurnal
VIC,Thompson Creek,-38.305,144.377,modified,wave dominated,STRANDPLAIN,0.12177,,,0.0156,0.07182,,2.86322,,0.00843,,0.41139,,,0.75183,5.83,230,0.15,2.64,0.11,,0.072,0.853,7.349,3.1,13.9,1,Semi Diurnal
VIC,Thurra River,-37.784,149.311,near pristine,wave dominated,OTHER,,,,,,,,,,,,,,,12.04,,0.28,5.5,0.12,,0.12,,,,,,
VIC,Tidal River,-39.035822,146.31218,largely unmodified,wave dominated,STRANDPLAIN,0.07508,,,0.06019,0.0445,,0.05981,,0.00204,,0.06227,,,,0,,0,,,,,,,,,,
VIC,Werribee River,-37.98,144.688,modified,river dominated,WAVE-DOMINATED DELTA,,,,,,,,,,,,,,,13.41,1484,0.49,5.98,0.19,,0.28,0.265,2.805,1,5.2,1,Semi Diurnal
VIC,Western Port Bay,-38.429,145.216,modified,tide dominated,OTHER,,,4.13857,3.46703,90.57019,15.36289,29.65951,3.69584,5.51959,,577.74547,,,259.39728,197,3652,469.45,38.57,7.16,,4.87,1.441,8.323,5.1,14.4,2.3,Semi Diurnal
VIC,Wild Dog Creek,-38.734,143.689,largely unmodified,wave dominated,OTHER,0.01145,,,,0.00452,,,,,,0.02128,,,,0,,,,,,,,,,,,
VIC,Wingan Inlet,-37.749,149.513,near pristine,wave dominated,WAVE-DOMINATED ESTUARY,0.06507,,0.11934,0.28279,0.37995,,0.73667,,0.02322,,0.71609,,,0.00589,22.35,520,1.5,9.68,0.64,0.56,0.12,1.573,6.731,5.6,11.4,1.1,Diurnal
VIC,Wye River,-38.635,143.891,largely unmodified,wave dominated,STRANDPLAIN,0.01752,,,,0.01493,,0.00245,,,,0.02124,,,,0,,0,,,,,,,,,,
VIC,Yarra River,-37.852,144.905,modified,river dominated,WAVE-DOMINATED DELTA,,,,,,,,,,,,,,,37.73,5481,3.48,13.08,0.4,,0.9,0.513,6.303,2.2,14.5,0.8,Diurnal
VIC,Yeerung River,-37.791,148.775,near pristine,wave dominated,STRANDPLAIN,0.05276,,,0.00133,0.0256,,0.06841,,,,0.19176,,,,3.51,176,0.15,1.6,0.14,,0.048,0.625,6.358,2.8,12.6,1.1,Semi Diurnal
WA,Ashburton River,-21.69,114.914,largely unmodified,river dominated,WAVE-DOMINATED DELTA,,,,,2.87303,2.98174,28.12473,0.05251,,,3.28681,,,2.70283,44.12,78420,3.78,21.47,,,0.66,0.384,3.388,1.6,7.7,1.8,Semi Diurnal
WA,Baldwin Creek,-17.017,122.367,near pristine,tide dominated,TIDAL FLAT/CREEK,,,,,,,,,,,,,,,,74,,,,,,0.66,5.039,4,12.9,6.5,Semi Diurnal
WA,Banningarra Creek,-20,119.717,near pristine,tide dominated,TIDAL FLAT/CREEK,,,,,,,,,,,,,,,,1340,,,,,,0.218,3.895,0.9,9.2,5.9,Semi Diurnal
WA,Barker Inlet,-33.821,121.35,modified,wave dominated,WAVE-DOMINATED ESTUARY,0.06729,1.41736,0.27162,,0.0347,,,,,,,,,,7.62,,1.44,2.49,1.23,0.82,0.044,,,,,,
WA,Beagle Bay,-16.942,122.563,near pristine,tide dominated,TIDAL FLAT/CREEK,,,,,,,,,,,,,,,26.87,1659,8.35,6.93,,,3.85,0.264,4.982,3.1,12.2,6.9,Semi Diurnal
WA,Beaufort Inlet,-34.472,118.902,modified,wave dominated,WAVE-DOMINATED ESTUARY,0.40786,4.24005,0.24196,,0.18425,,0.41858,,,,2.19181,,,21.52876,35.59,6260,6.81,13.89,1.48,0.21,0.259,1.543,7.522,4.3,14.4,0.6,Diurnal
WA,Beebingarra Creek,-20.327,118.672,largely unmodified,tide dominated,TIDAL FLAT/CREEK,,,,,1.48838,4.76641,16.2892,,,,15.79853,,,9.51612,32.23,483,3.13,2.69,,,1.37,0.028,4.554,0.4,9.7,5.8,Semi Diurnal
WA,Berkeley River,-14.349,127.781,near pristine,tide dominated,TIDE-DOMINATED ESTUARY,,,,,,,,,,,,,,,62.01,5149,6.61,24.82,,,0.62,0.495,3.974,4.4,8.7,4,Diurnal
WA,Boongaree Island Creek,-15.047,125.136,near pristine,tide dominated,TIDAL FLAT/CREEK,,,,,,,,,,,,,,,93.49,374,51.32,19.42,4.65,,3.09,0.429,4.557,4.7,9.4,6.5,Semi Diurnal
WA,Bowes River,-28.412,114.454,modified,river dominated,WAVE-DOMINATED DELTA,0.03141,,,,0.07926,0.09294,,,0.01842,,0.23906,,,0.01882,5.78,,0.15,2.83,,,0.069,,,,,,
WA,Broke Inlet,-34.937,116.373,near pristine,wave dominated,WAVE-DOMINATED ESTUARY,0.11924,41.03584,4.78425,0.81619,1.44994,,,,0.02768,,0.82087,,,0.53683,65.58,2061,36.23,16.25,5.86,4.25,0.2,2.157,8.63,10.3,13.8,0.4,Diurnal
WA,Buckle Head Creek,-14.451,127.832,largely unmodified,tide dominated,TIDAL FLAT/CREEK,,,,,0.80632,2.85879,5.15172,1.68782,,,0.88152,,5.52284,0.16649,14.73,115,0.61,6.23,,,0.81,0.496,4.1,4.5,8.8,4.4,Semi Diurnal
WA,Cane River,-21.546,115.378,largely unmodified,tide dominated,TIDAL FLAT/CREEK,,,,,2.23558,0.9327,14.87645,,,,0.60923,,,3.36509,8.17,4472,0.24,2.7,,,0.22,0.317,3.705,1.2,9.9,2.4,Semi Diurnal
WA,Cape Londonderry Creeks,-13.945,127.205,near pristine,tide dominated,TIDAL FLAT/CREEK,,,,,,,,,,,,,,,10.24,96,2.09,3.47,,,1.28,0.553,4.814,4.4,8.5,2.9,Diurnal
WA,Cape Londonderry Creeks,-13.746,126.9,near pristine,tide dominated,TIDAL FLAT/CREEK,,,,,,,,,,,,,,,27.8,134,11.33,9.21,,,3.48,0.675,4.814,5.1,8.6,3.1,Diurnal
WA,Cape Londonderry Creeks,-13.887,127.081,near pristine,tide dominated,TIDAL FLAT/CREEK,,,,,,,,,,,,,,,11.31,668,2.54,4.09,,,1.88,0.128,4.701,2.8,8.9,3,Diurnal
WA,Cape Londonderry Creeks,-13.766,126.835,near pristine,tide dominated,TIDAL FLAT/CREEK,,,,,,,,,,,,,,,31.69,261,16.59,7.74,,,3.29,0.704,5.003,5.6,8.5,3,Diurnal
WA,Cape Torrens Embayment,-15.042,125.093,near pristine,tide dominated,TIDAL FLAT/CREEK,,,,,,,,,,,,,,,22.52,74,7.91,8.33,,,2.59,0.429,4.557,4.7,9.4,6.6,Semi Diurnal
WA,Cape Whiskey Creek,-14.064,127.457,near pristine,tide dominated,TIDAL FLAT/CREEK,,,,,,,,,,,,,,,9.99,157,0.46,2.3,,,0.21,0.559,4.443,4.7,8.6,3.4,Diurnal
WA,Carnot Bay,-17.151,122.263,near pristine,tide dominated,OTHER,,,,,,,,,,,,,,,,1483,,,,,,0.506,5.019,3.3,13.6,6.6,Semi Diurnal
WA,Cascade Bay,-16.598,123.516,near pristine,tide dominated,OTHER,,,,,,,,,,,,,,,122.68,370,60.42,21.09,5.44,,1.13,0.294,3.151,2.2,7.2,7.8,Semi Diurnal
WA,Chapman River,-28.728,114.619,no assessment,wave dominated,OTHER,0.01553,,,0.0076,0.01591,0.03681,0.0083,,,,0.05472,,,,4.06,,,1.94,,,0.039,,,,,,
WA,Cheyne Inlet,-34.603,118.756,modified,wave dominated,WAVE-DOMINATED ESTUARY,0.03245,0.09443,,0.01064,0.01237,,0.04045,,0.01651,,0.12869,,,,2.91,,0.068,1.15,0.12,0.19,0.025,,,,,,
WA,Chile Creek,-16.522,122.85,near pristine,tide dominated,TIDAL FLAT/CREEK,,,,,,,,,,,,,,,11.89,39,1.87,4.9,,,0.99,0.696,5.231,4.9,11.9,7.1,Semi Diurnal
WA,Cone Bay,-16.507,123.578,near pristine,tide dominated,OTHER,,,,,,,,,,,,,,,38.71,296,11.6,13.54,,,2.16,0.199,3.145,1.8,7.7,8.1,Semi Diurnal
WA,Coppermine Creek,-16.165,123.57,near pristine,tide dominated,OTHER,,,,,,,,,,,,,,,44.03,72,10.55,10.5,,,1.7,0.499,4.474,3.9,9,8.5,Semi Diurnal
WA,Culham Inlet,-33.922,120.044,extensively modified,wave dominated,WAVE-DOMINATED ESTUARY,2.7169,8.59499,3.18684,0.25838,0.55466,,,,,,1.30191,,,,,2485,,,,,,1.565,7.472,4.7,14.9,0.7,Diurnal
WA,Dampier Creek (Broome),-17.961,122.25,largely unmodified,tide dominated,TIDAL FLAT/CREEK,,,,,,,,,,,,,,,8.97,111,0.57,2.73,,,0.76,0.169,5.539,1.6,13.6,8.3,Semi Diurnal
WA,De Grey River,-19.99,119.16,largely unmodified,tide dominated,TIDE-DOMINATED ESTUARY,,,,,12.30917,1.6347,27.69745,0.19599,,,12.1035,,,0.10662,,54752,,,,,,0.363,3.737,1.7,8.2,5.9,Semi Diurnal
WA,Deception Bay,-15.631,124.413,near pristine,tide dominated,OTHER,,,,,,,,,,,,,,,48.13,241,21.68,9.95,8.42,,1.69,0.547,5.25,4.7,12.5,8.8,Semi Diurnal
WA,Dempster Inlet,-34.079,119.669,modified,wave dominated,WAVE-DOMINATED ESTUARY,2.06916,1.47528,0.51785,0.2731,0.20582,,,,,,0.17347,,,,11.83,,2.56,5.2,0.83,0.98,0.12,,,,,,
WA,Disaster Bay,-16.916,123.156,near pristine,tide dominated,TIDAL FLAT/CREEK,,,,,,,,,,,,,,,21.93,541,1.23,5.59,,,0.84,0.21,3.079,2.1,6.2,7.7,Semi Diurnal
WA,Doctors Creek,-17.185,123.635,near pristine,tide dominated,TIDAL FLAT/CREEK,,,,,,,,,,,,,,,161.25,287,62.21,31.16,,,2.35,0.122,2.657,0.9,7.7,9.3,Semi Diurnal
WA,Donnelly Inlet,-34.488,115.677,largely unmodified,wave dominated,WAVE-DOMINATED ESTUARY,0.69449,0.43972,1.03199,0.10218,0.53515,,,0.00941,,,0.24727,,,,16.41,,0.7,6.5,,,0.1,,,,,,
WA,Doubtful Bay East,-16.118,124.584,near pristine,tide dominated,TIDAL FLAT/CREEK,,,,,,,,,,,,,,,65.97,163,10.64,11.33,,,1.82,0.21,3.179,1.9,8.5,9.1,Semi Diurnal
WA,Doubtful Bay South,-16.157,124.521,near pristine,tide dominated,TIDAL FLAT/CREEK,,,,,,,,,,,,,,,87.01,635,11.59,14.54,,,2.89,0.21,3.179,1.9,8.5,9.5,Semi Diurnal
WA,Drysdale River,-13.947,126.8,modified,tide dominated,TIDE-DOMINATED ESTUARY,,,,0.36391,5.46149,27.30168,6.95178,21.07454,,,24.98439,,,2.48897,130.82,15106,41.73,25.77,,,4.64,0.049,3.538,1.2,8.6,2.8,Diurnal
WA,Eagle Point,-16.177,124.431,near pristine,tide dominated,TIDAL FLAT/CREEK,,,,,,,,,,,,,,,25.83,21,1.54,5.18,,,0.75,0.213,2.965,1.8,7.8,9.7,Semi Diurnal
WA,False Mouth Of Ord,-14.851,128.37,near pristine,tide dominated,TIDAL FLAT/CREEK,,,,,,,,,,,,,,,639.15,2298,200.59,38.89,,,16.51,0.351,3.665,3.3,8.7,5.2,Semi Diurnal
WA,Fitzgerald Inlet,-34.106,119.634,largely unmodified,wave dominated,WAVE-DOMINATED ESTUARY,1.93652,4.62466,3.28074,0.53353,0.32861,,0.10026,,,,0.60782,,,,29.26,,8.36,10.36,1.98,1.87,0.15,,,,,,
WA,Fitzroy River,-17.39,123.542,largely unmodified,river dominated,TIDE-DOMINATED DELTA,,,,,39.06878,30.30006,580.64973,13.84961,,,67.76276,,,9.44507,161.26,103900,62.21,31.16,,,3.84,0.151,2.629,1.5,6.1,9.3,Semi Diurnal
WA,Fortescue River,-20.997,116.103,largely unmodified,river dominated,TIDE-DOMINATED DELTA,,,,,8.27375,1.19094,13.7771,0.05152,,,4.05968,,,7.49194,36.15,50006,2.053,8.44,,,0.75,0.042,4.314,0.5,8.2,3.4,Semi Diurnal
WA,Fraser River,-17.297,123.397,near pristine,tide dominated,TIDAL FLAT/CREEK,,,,,,,,,,,,,,,33.61,2752,3.68,11.39,,,0.8,0.164,2.692,1.7,5.7,9,Semi Diurnal
WA,Gardener Lake,-34.973,118.178,largely unmodified,river dominated,WAVE-DOMINATED DELTA,,,,0.01419,0.033,,0.01013,,,,0.14779,,,,10.84,,2.1,4.36,1.85,2.1,0.093,,,,,,
WA,Gascoyne River,-24.867,113.614,largely unmodified,river dominated,WAVE-DOMINATED DELTA,,,,0.33771,2.85613,11.38826,5.43582,22.92387,,,25.79944,,,6.95724,16.88,78548,4.04,7.48,,,0.75,0.646,6.028,2.1,13.3,0.9,Diurnal
WA,George River,-20.736,117.381,largely unmodified,tide dominated,TIDAL FLAT/CREEK,,,,,3.62552,2.73764,37.93188,0.14097,,,4.07671,,,4.90234,18.39,61,2.49,5.75,,,1.33,0.269,3.673,1.2,7.5,4.5,Semi Diurnal
WA,George Water,-15.956,124.589,near pristine,tide dominated,TIDE-DOMINATED ESTUARY,,,,,,,,,,,,,,,294.61,2824,197.6,62.52,7.55,6.71,2.1,0.179,3.57,1.5,10,8.6,Semi Diurnal
WA,Giralia Bay,-22.437,114.346,largely unmodified,tide dominated,OTHER,,,,,17.37811,16.09773,27.23488,0.19024,,,31.47847,,,0.10079,,1214,,,,,6.72,0.205,2.985,1,7.1,1.6,Semi Diurnal
WA,Goodenough Bay,-16.779,123.115,near pristine,tide dominated,TIDAL FLAT/CREEK,,,,,,,,,,,,,,,32.63,161,3.75,6.74,,,1.95,0.041,3.372,1.3,6.9,7.4,Semi Diurnal
WA,Gordon Inlet,-34.29,119.504,modified,wave dominated,WAVE-DOMINATED ESTUARY,2.43258,2.68768,,0.20931,0.41485,,0.68368,,,,0.46265,,,,27.17,,2.91,11.66,1.54,0.78,0.3,,,,,,
WA,Greenough River,-28.865,114.636,extensively modified,wave dominated,STRANDPLAIN,0.0606,,,,0.55433,1.03657,,,0.22305,,0.65791,,,,11.33,,0.81,5.43,,,0.14,,,,,,
WA,Hamersley Inlet,-33.969,119.908,modified,wave dominated,WAVE-DOMINATED ESTUARY,0.46053,1.22707,0.42303,0.22507,0.55475,,,,0.01521,,0.27872,,,0.01376,18.27,,1.99,7.52,1.08,0.89,0.13,,,,,,
WA,Hampton Harbour (Dampier),-20.688,116.653,modified,tide dominated,OTHER,,,,,,,,,,,,,,,46.16,248,10.73,9.42,,,1.54,0.235,3.333,0.8,9.6,3.7,Semi Diurnal
WA,Hanover Bay,-15.304,124.775,near pristine,tide dominated,OTHER,,,,,,,,,,,,,,,26.67,47,7.02,6.92,,,0.97,0.101,4.585,4,9,7.6,Semi Diurnal
WA,Harding River,-20.675,117.196,largely unmodified,tide dominated,TIDE-DOMINATED ESTUARY,,,,,0.35095,2.94736,3.99643,0.78207,,,1.73267,,,2.31025,24.27,1797,2.52,5.2,,,0.61,0.469,4.021,2.2,7.4,4.6,Semi Diurnal
WA,Hardy Inlet,-34.324,115.176,modified,wave dominated,WAVE-DOMINATED ESTUARY,1.47713,6.22106,6.76775,0.92045,0.09842,,4.54447,0.02068,0.12048,,2.3707,,,0.03006,89.51,21223,12.53,30.65,,,0.53,1.562,8.532,9.8,14.4,0.6,Diurnal
WA,Helby River,-14.748,128.182,largely unmodified,tide dominated,TIDAL FLAT/CREEK,,,,,1.13034,10.92309,18.2104,11.68389,0.04675,,2.90595,,,,27.08,105,2.06,7.67,,,0.51,0.432,3.795,3.5,8.5,4.9,Semi Diurnal
WA,High Bluff Creek,-16.241,124.403,near pristine,tide dominated,TIDAL FLAT/CREEK,,,,,,,,,,,,,,,21.98,41,1.45,6.65,,,1.94,0.213,2.965,1.8,7.8,10,Semi Diurnal
WA,Hill River,-30.387,115.05,modified,wave dominated,STRANDPLAIN,0.02199,,,,0.15893,0.08351,,,,,0.12778,,,,0,,0,,,,,,,,,,
WA,Hoon Creek,-17.109,123.293,near pristine,tide dominated,TIDAL FLAT/CREEK,,,,,,,,,,,,,,,21.93,976,1.25,5.59,,,0.42,0.24,3.015,2.3,6,8.5,Semi Diurnal
WA,Hunter River,-15.042,125.379,near pristine,tide dominated,TIDE-DOMINATED ESTUARY,,,,,,,,,,,,,,,64.6,408,19.62,17.58,,,2.45,0.314,4.378,3,10.7,6,Semi Diurnal
WA,Hutt Lagoon,-28.222,114.305,extensively modified,wave dominated,WAVE-DOMINATED ESTUARY,0.0905,,,,0.30463,0.1162,,0.00536,,,0.15561,,,,9.44,,0.19,4.64,,,0.044,,,,,,
WA,Irwin Inlet,-35.021,116.958,largely unmodified,wave dominated,WAVE-DOMINATED ESTUARY,0.56274,8.7605,0.2798,2.70454,0.30569,,0.34095,,,,0.71379,,,0.01614,20.87,344,10.37,4.8,5.13,2.22,0.11,2.308,8.412,9.7,13.6,0.5,Diurnal
WA,Irwin River,-29.259,114.92,extensively modified,wave dominated,OTHER,0.04365,,,,0.06368,0.11706,0.05524,,0.03143,,0.2043,,,0.02156,,,,,,,,,,,,,
WA,Jaubert Creek,-18.95,121.571,near pristine,tide dominated,TIDAL FLAT/CREEK,,,,,,,,,,,,,,,,179,,,,,,0.156,5.142,1.1,11.7,7.8,Semi Diurnal
WA,Jerdacuttup Lakes,-33.936,120.258,modified,other,OTHER,,,,,,,,,,,,,,,57.35,,23.45,13.65,5.74,,,,,,,,
WA,Jinunga River,-16.326,123.602,near pristine,tide dominated,TIDAL FLAT/CREEK,,,,,,,,,,,,,,,84.21,244,49.85,13.49,12.94,,0.65,0.244,3.432,2.2,9.2,8.4,Semi Diurnal
WA,Jones River,-20.734,117.356,largely unmodified,tide dominated,TIDAL FLAT/CREEK,,,,,4.01386,2.65253,30.07283,0.76122,,,5.22806,,,2.77059,17.4,728,2.78,5,,,1.24,0.269,3.673,1.2,7.5,4.5,Semi Diurnal
WA,Kammargoorh River,-16.394,123.624,near pristine,tide dominated,TIDAL FLAT/CREEK,,,,,,,,,,,,,,,78.71,272,31.47,13.58,,,5.44,0.244,3.432,2.2,9.2,8.4,Semi Diurnal
WA,Kelk Creek,-16.738,122.765,near pristine,tide dominated,TIDAL FLAT/CREEK,,,,,,,,,,,,,,,30.88,563,9.01,9.89,,,1.67,0.552,4.776,4,11.2,7.2,Semi Diurnal
WA,King Edward River,-14.179,126.587,largely unmodified,tide dominated,TIDE-DOMINATED ESTUARY,,,,,1.108,9.20693,2.68662,8.52849,0.06824,,19.69312,,,1.46454,95.1,9002,25.78,28.96,,,4.31,0.079,4.789,2.3,8.5,2.8,Diurnal
WA,King George River,-13.958,127.33,near pristine,tide dominated,OTHER,,,,,,,,,,,,,,,62.96,2776,9.14,18.24,0.48,,1.13,0.596,4.77,5.1,8.4,2.9,Diurnal
WA,King Sound (Goodenough To Cascade),-16.703,123.31,near pristine,tide dominated,TIDE-DOMINATED ESTUARY,,,,,,,,,,,,,,,306.06,136668,3293.25,81.02,,,44.27,0.278,2.997,2.4,5.9,8.7,Semi Diurnal
WA,Lake Macleod/Cardabia Crk/Lyndon/Minilya,-24.217,113.643,near pristine,other,OTHER,,,,,,,,,,,,,,,261.9,,,,,,,,,,,,
WA,Lawley River,-14.632,125.917,near pristine,tide dominated,TIDAL FLAT/CREEK,,,,,,,,,,,,,,,75.58,1201,12.64,10.18,,,3.24,0.217,3.416,2.1,7.6,6,Semi Diurnal
WA,Leschenault Inlet,-33.304,115.672,extensively modified,wave dominated,WAVE-DOMINATED ESTUARY,10.8788,21.93965,2.66441,0.52001,1.29873,,2.10326,,,,1.72021,,,0.07762,54.44,4552,26.16,13.27,11.01,0.65,0.27,1.273,6.872,8.3,12.3,0.5,Diurnal
WA,Little Sherlock River,-20.732,117.431,largely unmodified,tide dominated,TIDAL FLAT/CREEK,,,,,5.39179,1.69084,29.07291,0.19487,,,6.37021,,,10.50374,18.51,2165,1.31,4.51,,,1,0.269,3.673,1.2,7.5,4.5,Semi Diurnal
WA,Lombadina Creek,-16.541,122.819,near pristine,tide dominated,TIDAL FLAT/CREEK,,,,,,,,,,,,,,,10.27,56,2.26,3.97,,,0.92,0.696,5.231,4.9,11.9,7.1,Semi Diurnal
WA,Lyne River,-14.861,128.15,largely unmodified,tide dominated,TIDE-DOMINATED ESTUARY,,,,,1.02235,22.30617,33.78592,0.21298,,,13.4538,,,1.40853,101.4,335,15.65,20.35,,,4.55,0.344,3.611,2.9,8,5.2,Semi Diurnal
WA,Maitland River,-20.777,116.514,largely unmodified,tide dominated,TIDAL FLAT/CREEK,,,,,5.04301,3.20029,9.20035,0.30325,,,4.35763,,,8.45323,7.46,2123,0.3,3.07,,,0.49,0.235,3.333,0.8,9.6,3.6,Semi Diurnal
WA,Margaret River,-33.972,114.986,modified,wave dominated,WAVE-DOMINATED ESTUARY,0.15073,0.08399,0.01119,,0.03122,,,,0.12883,,0.12032,,,,5.46,518,0.25,2.58,,,0.14,2.405,8.182,12.1,13.5,0.7,Diurnal
WA,May River,-17.074,123.789,near pristine,tide dominated,TIDE-DOMINATED ESTUARY,,,,,,,,,,,,,,,123.05,13188,73.43,32.5,,,6.92,0.012,2.868,0.5,9.5,9,Semi Diurnal
WA,Mckelson Creek,-18.817,121.65,near pristine,wave dominated,STRANDPLAIN,,,,,,,,,,,,,,,,211,,,,,,0.546,4.496,1.7,10.9,7.8,Semi Diurnal
